Comment,Published At,Like Count,Reply Count,Video Title
i struggle sss sound like arti-st-sss,2025-05-17T16:01:10Z,0,0,how_to_pronounce_th_sounds
how to pronounce &quot;r&quot; sound?,2025-05-17T02:00:35Z,0,0,how_to_pronounce_th_sounds
Thanks,2025-05-16T17:56:24Z,0,0,how_to_pronounce_th_sounds
It is very difficult for foreigners 😅,2025-05-16T11:24:42Z,0,0,how_to_pronounce_th_sounds
Thank you very much ❤❤❤,2025-05-16T11:11:36Z,2,0,how_to_pronounce_th_sounds
Thank you very much,2025-05-16T11:11:16Z,3,0,how_to_pronounce_th_sounds
I&#39;m in the car practising the excercise alone while I wait my son and the Man in the car next to me looks at me with sorprised face    JAJAJ,2025-05-16T10:57:37Z,0,1,how_to_pronounce_th_sounds
Reply: Amazing! Well done 🗣️ !,2025-05-16T11:12:35Z,0,0,how_to_pronounce_th_sounds
It sounds like &quot;ث&quot; as in Arabic and Urdu.,2025-05-16T09:57:45Z,3,0,how_to_pronounce_th_sounds
It sounds as spanish &#39;z&#39; we place the tongue de same place.,2025-05-16T09:52:17Z,1,0,how_to_pronounce_th_sounds
GREAT 😊,2025-05-16T09:37:26Z,2,0,how_to_pronounce_th_sounds
"👩‍🍳 If you enjoyed that, you&#39;ll love this video all about cooking words: <a href=""https://www.youtube.com/watch?v=HEVxB7C3YuQ"">https://www.youtube.com/watch?v=HEVxB7C3YuQ</a>",2025-05-15T09:05:17Z,17,1,which_cooking_oil_is_the_best_6_minute_english
Reply: ❤ great,2025-05-15T09:36:12Z,0,0,which_cooking_oil_is_the_best_6_minute_english
What the heck is the oil for fryingthen after all the hogwash we have been through!?,2025-05-19T10:09:27Z,0,0,which_cooking_oil_is_the_best_6_minute_english
Thanks,2025-05-19T06:27:01Z,0,0,which_cooking_oil_is_the_best_6_minute_english
I really enjoy . It is perfect and I learn great valuable information,2025-05-18T09:19:07Z,0,0,which_cooking_oil_is_the_best_6_minute_english
Thank you so much,2025-05-18T08:44:12Z,0,0,which_cooking_oil_is_the_best_6_minute_english
in Uzbekistan everybody uses cotton oil,2025-05-18T02:01:48Z,0,0,which_cooking_oil_is_the_best_6_minute_english
Thank You for this lesson!,2025-05-17T23:06:04Z,0,0,which_cooking_oil_is_the_best_6_minute_english
"My kitchen has a load of oils rice, sesame, olive, MCT, flaxseed, even ghee.<a href=""UCkszU2WH9gy1mb0dV-11UJg/-fgfY9DIGYjbhgHLzoDIDw""></a><br>Someone claim they’re beneficial, and media advocates for MCT and flaxseed as wonder products. But honestly, it gets confusing. What the heck is actually true? Are the claims real or just myth or hogwash? My parents are the connoisseurs, so I just knock myself out and use what are there in the kitchen.🛢",2025-05-17T17:07:00Z,1,0,which_cooking_oil_is_the_best_6_minute_english
"Virgin olive oil on medium heat, coconut oil is the best, and maybe avocado oil, and GHEE👍",2025-05-17T11:32:54Z,0,0,which_cooking_oil_is_the_best_6_minute_english
I  THINK   COOKING OIL  IS. NOT GOOD TO COOK .,2025-05-17T06:06:35Z,0,0,which_cooking_oil_is_the_best_6_minute_english
"This is useful for me,,, however,, i can&#39;t remember it longer......... 😢😢😢",2025-05-17T04:41:37Z,0,0,which_cooking_oil_is_the_best_6_minute_english
"Thanks form libya, we have olive trees here alot, but that&#39;s not enough to use it in daily coking, so we use corn oil instead.",2025-05-17T00:42:49Z,0,0,which_cooking_oil_is_the_best_6_minute_english
Thank you,2025-05-17T00:14:56Z,0,0,which_cooking_oil_is_the_best_6_minute_english
Hello everyone from beautiful Tajikistan 🇹🇯,2025-05-16T11:51:31Z,3,1,which_cooking_oil_is_the_best_6_minute_english
Reply: @@ОлимджонРузиев-ф4б Hello! Regards from Argentina 🤩🇦🇷,2025-05-18T04:21:32Z,0,0,which_cooking_oil_is_the_best_6_minute_english
How about rice oil?,2025-05-16T09:30:12Z,1,0,which_cooking_oil_is_the_best_6_minute_english
Thanks for sharing this useful information 😊,2025-05-16T05:47:57Z,0,0,which_cooking_oil_is_the_best_6_minute_english
"How amazing story it is! But when it comes to &quot;hogwash&quot;, I remembered a magic school, so called &quot;HogWartz.&quot; Is the term &quot;hogwash&quot; not related to &quot;HogWartz&quot;?",2025-05-16T04:18:55Z,1,0,which_cooking_oil_is_the_best_6_minute_english
Wonder product -beneficial <br>What the heck-surprise or frustration <br>Hogwash - nonsense <br>Knock yourself out-go ahead,2025-05-16T04:09:47Z,0,0,which_cooking_oil_is_the_best_6_minute_english
Useful vocabulary and useful information..,2025-05-15T23:43:52Z,0,0,which_cooking_oil_is_the_best_6_minute_english
Avocado oil is considered to be a wonder product but I have never tried it before.,2025-05-15T20:47:50Z,1,1,which_cooking_oil_is_the_best_6_minute_english
"Reply: Yeah, me too",2025-05-18T13:05:43Z,1,0,which_cooking_oil_is_the_best_6_minute_english
Thanks,2025-05-15T20:32:21Z,1,0,which_cooking_oil_is_the_best_6_minute_english
It&#39;s Amazing leasen. He goes to school by bus everyday... 😊😅,2025-05-15T18:20:57Z,0,0,which_cooking_oil_is_the_best_6_minute_english
Hello❤im your  regular listener 🎉,2025-05-15T17:51:40Z,1,0,which_cooking_oil_is_the_best_6_minute_english
Who else from Uzbekistan 🇺🇿👇,2025-05-15T17:00:06Z,1,0,which_cooking_oil_is_the_best_6_minute_english
very helpful video thank you very much ❣,2025-05-15T16:32:58Z,0,0,which_cooking_oil_is_the_best_6_minute_english
Thanks,2025-05-15T15:21:39Z,0,0,which_cooking_oil_is_the_best_6_minute_english
"Thanks! 😊Great vocabulary and topic! Nowadays there is a truck-load of false doctors and nutritionists who advocate that we need to fry only on coconut, olive or avocado oils. They claim that they are allegedly safer for our gut and health. But I’d get it with a pinch of salt and thought-provoking. I don’t think that’s worth of the hype for some reasons. Firstly, they change the taste of product that I fry except for olive oil. Secondly, these oils are exported from other countries to my country so they’re way more expensive than sunflower oil for example. These veggies are not typical for the terrain of my country. And finally, we can use high oleic sunflower oil for frying food. It has some benefits and much cheaper than expensive analogs.",2025-05-15T15:02:05Z,0,0,which_cooking_oil_is_the_best_6_minute_english
"From what I understand, for frying there&#39;s really no good oil. Any fried food is not healthy. For drizzling in a salad, olive oil is somewhat good, but it&#39;s still 14 % saturated fat.",2025-05-15T14:23:32Z,0,0,which_cooking_oil_is_the_best_6_minute_english
"Woooow, you not only helping us in improving English but also providing valuable information",2025-05-15T14:10:59Z,3,0,which_cooking_oil_is_the_best_6_minute_english
It&#39;s very nice ❤,2025-05-15T14:04:34Z,0,0,which_cooking_oil_is_the_best_6_minute_english
thanks a lot!!!,2025-05-15T13:23:43Z,0,0,which_cooking_oil_is_the_best_6_minute_english
"Olive oil and butter have been tremendously expensive these days. So I&#39;ve given up using them. Instead, I&#39;ve been using rapeseed oil.😅<br>Thank you for your outstanding lesson！😊",2025-05-15T12:56:05Z,4,1,which_cooking_oil_is_the_best_6_minute_english
"Reply: Yeah, exactly. Rapeed oil is really more inexpensive than other types of oil.",2025-05-18T13:04:22Z,0,0,which_cooking_oil_is_the_best_6_minute_english
What about Canola oil?,2025-05-15T12:25:45Z,4,1,which_cooking_oil_is_the_best_6_minute_english
Reply: Only if it&#39;s organic,2025-05-17T11:31:29Z,0,0,which_cooking_oil_is_the_best_6_minute_english
Very informative discussion! I always wandered which cooking oil is actually healthy. Thanks for explaining it clearly and also teaching new vocabulary. BBC learning English video are always helpful!,2025-05-15T12:07:41Z,1,2,which_cooking_oil_is_the_best_6_minute_english
Reply: Where are you from?,2025-05-15T16:51:48Z,0,0,which_cooking_oil_is_the_best_6_minute_english
Reply: @عبدالرزاقحسين-ع8و  Pakistan 🇵🇰,2025-05-16T12:31:05Z,2,0,which_cooking_oil_is_the_best_6_minute_english
