Comment,Published At,Like Count,Reply Count
✍️ Tell us about the last place you arrived!,2025-05-07T11:38:09Z,10,5
Reply: I would like to arrive at BBC and meet all the beautiful hosts.😜,2025-05-07T11:55:05Z,0,0
Reply: We&#39;ve  just arrived at the hotel I booked in Venice a few days ago.,2025-05-07T15:54:21Z,0,0
Reply: kindly tell me the differences between cities and towns .,2025-05-08T03:43:45Z,0,0
Reply: Arrived home,2025-05-08T10:55:17Z,0,0
"Reply: ​@@shahidactg1981 A city is a larger town and a town is a smaller city? I&#39;m not quite sure, actually.",2025-05-16T16:07:06Z,0,0
I arrived in Paris,2025-05-19T04:37:09Z,0,0
I arrived at work,2025-05-17T12:35:18Z,0,0
I have arrived home,2025-05-17T10:41:41Z,1,0
Arrive in cities/towns/villages/countries <br><br>Arrive at other places like cinema/park/school/work<br><br>Arrive home with no preposition,2025-05-16T16:05:35Z,0,0
I arrived in Stockholm City at the end of last month.,2025-05-15T19:53:18Z,0,0
I &#39;ve arrived home so busy,2025-05-14T10:26:05Z,1,0
I arrived home last night 🌻,2025-05-13T12:02:44Z,0,0
I&#39;d rather not arrive ! 💮🐗💮🐊 🤣😆,2025-05-13T10:18:29Z,0,0
I have arrived school...,2025-05-13T07:23:32Z,0,0
I&#39;ve arrived at Anagni the little town near to Rome.,2025-05-12T18:31:28Z,1,0
I&#39;ve arrived home,2025-05-12T11:03:18Z,0,0
Thanks,2025-05-12T10:48:56Z,1,0
I arrived at your channel,2025-05-12T10:24:10Z,0,0
I arrived in Ireland 🇮🇪 😊,2025-05-12T08:04:40Z,0,0
Thanks ❤❤❤❤,2025-05-12T01:31:05Z,1,0
I&#39;m greatful!,2025-05-11T17:40:53Z,1,0
I arrived at the cinema. <br>I arrived at the airport.,2025-05-11T13:42:00Z,1,0
I&#39;ve arrived in Nacala-Porto.,2025-05-11T08:41:38Z,1,0
Congratulations on this informative and Powerful tip. Keep up the great work 🤏,2025-05-11T08:41:07Z,1,0
I arrived in Europe. I arrived to street. She arrived home yesterday,2025-05-10T21:52:34Z,0,0
I&#39;ve just arrived home sweet home.😂❤,2025-05-10T19:22:03Z,0,0
🎉,2025-05-10T18:54:11Z,0,0
❤I&#39;ve arrived home,2025-05-10T18:39:03Z,0,0
❤,2025-05-10T18:23:31Z,0,0
Thank you BBC Learning English ❤,2025-05-10T17:49:52Z,1,0
I have arrivet in nowhere no time noting,2025-05-10T17:10:12Z,0,0
What is the difference between city and town?,2025-05-10T14:56:47Z,0,0
I’ve arrive home and I’m going to arrive in Spain on July 🎉,2025-05-10T14:31:29Z,0,0
Iv arrived home,2025-05-10T10:39:53Z,0,0
I  have just arrived home 😊,2025-05-10T03:18:45Z,0,0
I&#39;ve arrived home,2025-05-10T01:19:37Z,0,0
I&#39;ve arrive at airport very early  so I spent some time bought some food and drink to arrive home to have my braksfast . Saludos!!❤,2025-05-09T23:11:29Z,2,0
I&#39;ve arrived at school,2025-05-09T17:19:13Z,0,0
I arrived in China，and I arrived home,2025-05-09T15:07:07Z,0,0
I arrived at mosque,2025-05-09T14:11:09Z,0,0
!!!!!,2025-05-09T12:09:23Z,0,0
I&#39;ve arrived home. 🤗,2025-05-09T06:53:04Z,0,0
Can you make difference between on and at,2025-05-09T01:46:40Z,0,1
"Reply: Try these :)<br>🌟 <a href=""https://www.youtube.com/watch?v=oBatJc1VZCE"">https://www.youtube.com/watch?v=oBatJc1VZCE</a><br>🌟<a href=""https://www.youtube.com/watch?v=aeQp9kNZDug"">https://www.youtube.com/watch?v=aeQp9kNZDug</a><br>🌟<a href=""https://www.youtube.com/watch?v=wkmKA2zGn6k"">https://www.youtube.com/watch?v=wkmKA2zGn6k</a>",2025-05-09T09:27:04Z,0,0
Wow I always say arrive to 😅,2025-05-08T22:25:44Z,0,0
Thank you❤,2025-05-08T18:00:05Z,1,0
Super! 🎉 Thank you 🫶,2025-05-08T16:32:17Z,1,0
❤❤,2025-05-08T14:36:01Z,1,0
What if I say I am at home,2025-05-08T13:31:04Z,0,0
I&#39;ve arrived in Bangladesh,2025-05-08T10:52:20Z,0,0
Thank you for sharing❤❤❤❤,2025-05-08T09:25:24Z,4,0
I&#39;ve arrived home  :),2025-05-08T07:44:39Z,0,0
I have arrived in Almaty,2025-05-08T07:30:39Z,0,0
i never arrived home..,2025-05-08T07:27:25Z,0,0
❤,2025-05-08T07:27:03Z,0,0
I&#39;d arrived in Pune last year.,2025-05-08T02:40:26Z,0,0
I arrived in Tashkent 4 days ago,2025-05-08T02:29:50Z,0,2
Reply: @@TheSensei-n6k <br>I’ve been there as a child. Nice place!👍🏻,2025-05-09T02:06:16Z,0,0
Reply: @ЕленаЮркова-й2ь  I totally agree with that,2025-05-09T02:26:41Z,0,0
I have arrived at the bbc learning to learn English,2025-05-08T00:23:37Z,1,0
I&#39;ve arrived home. <br>Thank you!,2025-05-07T23:48:34Z,0,0
I&#39;ve understood everthing,2025-05-07T22:59:01Z,0,0
I arrived ten in the forest.,2025-05-07T21:34:36Z,0,0
"Neat! <br>Comprehensibly collected and nicely explained!<br>CONCLUSION: All three prepositional possibilities are respectively valid - in, at and no preposition.<br><br>If there is any, and if you can, kindly shed light on the rationale behind all three possibilities, as that would fix the rule forever, for all.<br>🙏",2025-05-07T20:48:54Z,4,0
Great job 👏,2025-05-07T20:21:22Z,1,0
Understandable. Thanks,2025-05-07T19:50:45Z,1,0
Thank you🙌🏽,2025-05-07T19:45:54Z,1,0
İ have arrived home 😊 too,2025-05-07T19:06:36Z,0,0
Why don&#39;t we use prepositions with home and we don&#39;t use it with house as well??,2025-05-07T18:11:12Z,0,1
"Reply: 😊 &#39;house&#39; is more literal and refers to the building that someone lives in, whereas &#39;home&#39; represents the emotional connection that someone has with the place they live.",2025-05-08T09:15:32Z,0,0
At,2025-05-07T18:09:24Z,0,0
👍👍👌👌👏👏👏,2025-05-07T16:53:17Z,0,0
What is the reason for these differences?,2025-05-07T16:29:11Z,0,0
I&#39;ve arrived at the Town&#39;s main park.,2025-05-07T16:18:02Z,0,0
I ‘ ve arrived at the shopping center,2025-05-07T16:15:24Z,0,0
I&#39;ve arrived in Shymkent,2025-05-07T16:15:11Z,0,0
You always the best,2025-05-07T16:14:38Z,1,0
I&#39;ve arrived at the toilet 😂😂,2025-05-07T16:08:06Z,0,0
