Comment,Published At,Like Count,Reply Count
"Thanks for watching! ❤<br>Tell us - what was your favourite &#39;subject&#39; at school? 🤔<br>If you like these box sets, check out our 6 Minute English box sets here to learn even more vocabulary: <a href=""http://bit.ly/3jdEP0b"">bit.ly/3jdEP0b</a>",2025-05-12T09:08:44Z,3,0
I agree with you. All the videos of BBC are great. I am going to head over to other ones. Thanks,2025-05-14T14:52:28Z,0,0
Thanks bbc❤,2025-05-13T05:43:13Z,1,0
Nothing,2025-05-12T19:11:57Z,0,0
"What a great lesson! I&#39;m pretty happy with the fact that I&#39;ve just learnt another meaning for the word &quot;field&quot;, referring to deal with a problem. I also find some yoga positions very uncomfortable, in fact I skipped them. Many thanks for your lesson BBC teachers!",2025-05-12T18:29:06Z,0,0
"I am from Bangladesh. As a ielts candidate, I need a speaking partner!",2025-05-12T17:43:23Z,0,0
Thanks BBC,2025-05-12T11:53:04Z,0,1
Reply: You&#39;re welcome! Thank you for being a student with us. 😊 ❤,2025-05-12T15:01:33Z,0,0
"As a fluency coach, I found this session crisp and helpful, perfect for learners who want to build vocabulary and confidence in real conversations.",2025-05-12T09:27:49Z,0,0
"Great 10 minutes  English. It’s my best way to learn. It’s short, enough detailed, and clear. Thank you. I need more, Please.",2025-05-12T04:42:41Z,1,1
"Reply: We&#39;re so glad you enjoy this series! 😁 Stay tuned for more box sets. 👍<br>Alternatively, you can find the individual episodes of English In A Minute on our website: <a href=""http://bit.ly/4cGmq3q"">bit.ly/4cGmq3q</a>",2025-05-12T09:06:41Z,0,0
"BBC professors,are expert on their FIELD!",2025-05-11T23:38:08Z,1,0
It&#39;s really helpful for me.,2025-05-11T23:24:11Z,2,1
Reply: That&#39;s what we like to hear! 😊,2025-05-12T09:09:13Z,0,0
"Could you explain what is the difference between &quot;for,&amp;, to, please.",2025-05-11T18:40:54Z,1,0
It&#39;s really a great video ❤ thank you,2025-05-11T18:36:52Z,1,0
My kind gratitudes are resonated with your every single lesson.  I&#39;m mad for British English 😊🎉🎉!,2025-05-11T16:48:43Z,1,0
"Terrific, thx!",2025-05-11T13:50:32Z,1,1
Reply: You&#39;re welcome! Do you know any other synonyms for &#39;terrific&#39;? 😁,2025-05-12T09:09:55Z,0,0
Super fantastic ❤❤❤,2025-05-11T13:48:41Z,1,0
"wow, English is really difficult. I&#39;ve learned English for 10 years and I do not speak English very well.",2025-05-11T13:22:07Z,0,2
"Reply: What do you struggle with in English? 😊<br>If you tell us, we can recommend some content that you can use to improve! 🤩",2025-05-12T09:14:15Z,0,0
"Reply: @bbclearningenglish  wow, thanks for your reply! Actually, I have a good grasp of grammar and vocabulary, but I struggle with producing sentences fluently. Also, I find English pronunciation tough, especially with things like linking and connected speech. I wonder if you have any tips for improving my output and pronunciation?",2025-05-12T15:13:17Z,0,0
Love your videos 😊,2025-05-11T12:30:35Z,1,0
Great 👍 thanks so much,2025-05-11T11:36:22Z,1,0
"Bbc Learning English is a really helpful channel for language learners, both grammar and speaking 🔊",2025-05-11T11:30:18Z,7,0
What a great BBC Learning English ❤,2025-05-11T11:26:27Z,1,0
Great video 🙏📚,2025-05-11T10:58:42Z,1,0
"great i like it more video please<a href=""UCkszU2WH9gy1mb0dV-11UJg/Rf90XtDbG8GQ8gTz_prwAg""></a>",2025-05-11T10:53:16Z,1,0
বাংলাদেশ থেকে কে দেখেছেন,2025-05-11T10:08:04Z,0,1
Reply: My eggs,2025-05-11T11:27:13Z,0,0
Good morning everyone.,2025-05-11T10:03:19Z,1,1
Reply: @@SidneiFreitas0505 Good afternoon at my place,2025-05-11T10:11:59Z,1,0
