Comment,Published At,Like Count,Reply Count
Couldn&#39;t find the longer video. Could anyone share the link ?,2025-05-19T08:50:59Z,0,2
"Reply: 😊 You can copy and paste this link into your web browser: <a href=""https://bbc.in/40zYeKk"">https://bbc.in/40zYeKk</a>",2025-05-19T10:52:47Z,1,0
Reply: Thanks so much !🙏🏻,2025-05-19T10:55:32Z,0,0
Effective short videos for learn ;thanks,2025-05-19T08:10:39Z,0,0
Please use some simple examples. Got more confused after watching this video.😮..,2025-05-18T17:43:35Z,0,0
Sian: thanks to you. I&#39;m Rafael❤,2025-05-18T16:28:28Z,0,0
What&#39;s her name?,2025-05-17T19:53:15Z,1,2
Reply: 😊 This is Sian.,2025-05-19T10:17:29Z,0,0
Reply: ​@@bbclearningenglish she&#39;s stunning,2025-05-19T10:22:10Z,0,0
"Actually, I think it should be &#39;either&#39; at the end there, not &#39;both&#39;, shouldn&#39;t it? &#39;Some verbs are followed by either,&#39; as no verb is ever followed by both a gerund AND an infinitive at the same time. Tell me I&#39;m wrong...",2025-05-17T10:01:13Z,1,0
Top channel pure energy english,2025-05-16T18:45:54Z,0,0
I love this teacher!❤,2025-05-14T11:38:27Z,2,0
😳😳🙄🙄🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️,2025-05-13T13:31:56Z,0,0
<b>both</b> 🤷🏼‍♂️... it&#39;s like you can learn pronunciation rules but u are never sure until you learn how to pronounce that specific word!,2025-05-12T21:42:20Z,1,1
"Reply: *learn, not leave, of course. edited the above.",2025-05-13T12:04:59Z,0,0
"The best enjoy english learing , his proud bbs learning  English ❤",2025-05-12T14:39:35Z,3,0
Learning from your channel is full of joy. It is not difficult to learn from your website.,2025-05-10T18:32:08Z,1,0
👍🏻👌🏻👍🏻,2025-05-10T11:46:22Z,1,0
Which are following by both,2025-05-10T11:08:19Z,1,0
"I&#39;m going to be honest, I knew these rules... but It&#39;s great that you refresh them for us, because at the beginning of the video I didn&#39;t remember them. Many thanks Sian!",2025-05-10T09:57:07Z,4,0
I remember there was an episode comparing “stop to talk” and “stop talking “,2025-05-10T06:51:51Z,2,0
You are the best teacher 🎉😊,2025-05-10T06:24:04Z,1,0
Amazing video! BBC Learning English never disappoints! 😊,2025-05-10T00:14:03Z,6,0
Wich are followed by both!!!,2025-05-09T15:50:57Z,1,0
🎉🎉🎉thanksss,2025-05-09T15:33:41Z,1,0
English has no head or tail.,2025-05-09T15:23:26Z,1,0
