Comment,Published At,Like Count,Reply Count
"Do you ❤ love learning about animals? Listen to this 6 Minute English box set all about 🦓🦒🦔 animals: <a href=""https://www.youtube.com/watch?v=3_X8Fr5qpSw"">https://youtu.be/3_X8Fr5qpSw</a>",2025-05-07T13:49:11Z,15,4
"Reply: As usual, it&#39;s been an absolute pleasure to listen to you guys and learn fascinating facts about animals!",2025-05-07T14:14:23Z,0,0
Reply: @@bbclearningenglish Yes. I love animals. So I listen to this 6 minute English box everyday.,2025-05-10T12:41:58Z,1,0
"Reply: @bbclearningenglish, why not a PDF file with the trascript of the episodes of BBC Learning English from the News?",2025-05-12T15:39:44Z,0,0
"Reply: @bbclearningenglish, why not a PDF file with the trascript of the episodes of BBC Learning English from the News?",2025-05-12T19:32:38Z,0,0
Interesting vidéo of using the expression pack of bunch...but it&#39;s a little difficult folowing for me.<br>Thanks.,2025-05-15T07:04:45Z,0,0
Why not a PDF file with the trascript of the episodes of BBC Learning English from the News?,2025-05-12T15:38:31Z,0,0
Learning with BBC makes me feel pretty confident. Thanks a lot ❤,2025-05-12T05:48:59Z,0,0
I&#39;m so fascinated by marine life,2025-05-11T20:10:06Z,1,0
"My colleague were caught  on camera slacking off, but his work results packed a punch and made everyone surprise",2025-05-11T02:44:53Z,6,0
Life would have been so much difficult without BBC learning english  <br>Thank you for teaching us English,2025-05-10T14:20:19Z,1,0
I&#39;m from Azerbaijan 🇦🇿,2025-05-10T09:39:34Z,1,0
Form Viet Nam!,2025-05-09T11:53:21Z,0,0
From Uzbekistan 🇺🇿,2025-05-09T10:31:22Z,0,0
this very useful for me to improve my engish skills,2025-05-09T04:06:11Z,0,0
"I never heard the expression &quot;pack a punch&quot;. Interesting ways of using English. The more expressions we learn the more kind of native we&#39;ll sound. Not being pretentious, but that&#39;s something that at my age, quite old, I still love to achieve some day. Many thanks BBC teachers for the lesson.",2025-05-08T14:24:06Z,2,0
I&#39;m from Uzbekistan,2025-05-08T11:34:14Z,3,0
"I&#39;ve never slacked off BBC learning English because it&#39;s definitely worthwhile.<br>As always, thank you for your outstanding lesson！😊📝👓️",2025-05-08T11:06:40Z,2,2
Reply: Thanks for learning English with us!,2025-05-08T14:26:18Z,2,0
Reply: My pleasure. You rock！🤗​@@bbclearningenglish,2025-05-08T20:15:32Z,1,0
From Haiti 🇭🇹,2025-05-08T10:30:07Z,0,0
It&#39;s amazing. Thank you,2025-05-08T06:52:57Z,0,0
From korea!!!,2025-05-08T06:47:38Z,0,1
Reply: 👋 Hello from London!,2025-05-08T09:32:47Z,1,0
Thanks a lot 👍,2025-05-08T05:47:19Z,1,0
