Comment,Published At,Like Count,Reply Count
"🤩 Click here to learn 10 &#39;animal&#39; expressions in 25 minutes: <a href=""https://www.youtube.com/watch?v=dlVv1C_hgvs"">https://youtu.be/dlVv1C_hgvs</a>",2025-05-08T10:28:15Z,13,0
Should but not in cramped cages!!! 💛💙,2025-05-18T21:50:00Z,1,0
Animals in zoo usually have more lifespan than those live in wild.,2025-05-18T01:49:49Z,0,0
"You mean like people&#39;?  Well It depends?  How dumb are they.  To find out, there needs to be IQ testing.  Thank You.  ⚡⚡🔬🫏🧬🧪🍗😁🥐🥐🍒🍒👏👏🍔🦍",2025-05-16T03:15:09Z,0,0
I feel sorry for animals which are kept in zoos but having said that some of the animals in the zoos have being rescued to protect them as they have being hurt for humans or other animals other wise they would die.,2025-05-15T06:06:11Z,0,0
Hello from Uzbekistan 🇺🇿,2025-05-14T12:45:41Z,2,0
Zoos must be prohibited!,2025-05-14T03:17:00Z,0,0
i like zoo very much <br>this full of  animals ans birds,2025-05-14T01:01:46Z,0,0
Couldn&#39;t be better! 😍👏,2025-05-13T11:06:36Z,1,0
"I like your video today, it&#39;s was very interested ! Best wishes !",2025-05-13T07:24:12Z,2,0
"I quite like zoos. People come to zoos because they want to see animals such as lions, giraffes, rhinos, elephants, tigers, penguins, crocodiles, and many more, but zoos are like animal prisons. The animals are kept in an enclosure where there is very little room to explore. They can just get fed up and bored with being in the same place all the time. It does, however, keep them safe from poachers, and animals from an endangered species may need to be kept in zoos for the sake of the species&#39; survival. The big question is, are they better off being vulnerable to poaching, or being cooped up in a zoo?",2025-05-12T22:03:05Z,0,0
I find writing a perfect essay difficult and I think I should break it down into many parts.,2025-05-12T16:40:34Z,0,0
"Zoos can help protect endangered animals and educate the public,  but animals deserve freedom and a natural environment.",2025-05-12T13:33:24Z,1,0
"Definitely shouldn&#39;t, it&#39;s animal abuse.",2025-05-12T10:39:54Z,0,0
Thanks for sharing,2025-05-12T09:17:53Z,2,0
Perfect as always 🎉,2025-05-12T06:09:11Z,0,0
Freedom for Angels Davis 😊,2025-05-12T04:00:27Z,0,0
👍♥️♥️,2025-05-11T18:56:57Z,0,0
"Useful video👍<br>Zoos are not in good condition in some countries especially in my country,they are keeping animals only to make business",2025-05-11T15:19:16Z,0,0
so hard.many new words,2025-05-11T10:41:14Z,0,0
"detrimental <a href=""https://www.youtube.com/watch?v=d6BGuntMwCM&amp;t=198"">3:18</a>",2025-05-11T03:42:15Z,0,0
Many thanks BBC learning,2025-05-10T23:07:50Z,1,0
Use this comment as a listener from KAZAKHSTAN ❤,2025-05-10T19:38:10Z,0,0
Uzb😂😂❤,2025-05-10T13:06:49Z,1,0
Thanks so much,2025-05-10T12:04:30Z,1,0
"thanks your program and information ,  greetings from Uzbekistan ❤😊",2025-05-10T11:48:20Z,2,0
