Comment,Published At,Like Count,Reply Count
"What are you 🫵 doing right now? 😁 Tell us in the comments.<br>You can find a worksheet on this episode here. 👉 <a href=""http://tinyurl.com/ps3hplv"">http://tinyurl.com/ps3hplv</a>",2025-05-13T09:22:27Z,12,4
Reply: Iam watching BBC learning English ❤❤❤,2025-05-13T19:57:16Z,0,0
Reply: Im cooking,2025-05-15T10:36:54Z,0,0
Reply: @@bbclearningenglish <br>Inan idin fahaaman rajaynayaa🙏🌿,2025-05-17T09:56:15Z,0,0
Reply: I am enjoyinh your podcast.❤,2025-05-18T16:21:42Z,0,0
He&#39;s taking a shower,2025-05-19T10:49:37Z,0,0
He&#39;s taking a bath❤❤,2025-05-19T09:44:09Z,0,0
He&#39;s taking a shower,2025-05-19T09:41:18Z,0,0
I&#39;m watching your video 🎉,2025-05-18T12:23:02Z,0,0
Tim is showierng  🚿 🛁 🛀,2025-05-18T10:49:54Z,0,0
Good videos! Thank you very much!,2025-05-18T10:26:45Z,0,1
Reply: Stay tuned for more episodes!,2025-05-19T10:34:23Z,0,0
He is having a shower),2025-05-18T08:18:07Z,0,0
He&#39;s taking a shower,2025-05-17T23:24:56Z,0,0
He’s taking a shower.,2025-05-17T23:16:39Z,0,0
Im watching the video .,2025-05-17T20:33:20Z,0,0
He taking shower.,2025-05-17T20:13:54Z,0,0
he  is taking a shower,2025-05-17T12:52:51Z,0,0
He is taking shower,2025-05-17T11:33:48Z,0,0
He is taking a shower,2025-05-17T10:47:40Z,0,0
He&#39;s taking a shower,2025-05-17T08:20:54Z,0,0
He is drinking.,2025-05-17T06:35:28Z,0,0
I&#39;m listening to BBC world news on the radio. I&#39;m trying to understand the news.,2025-05-17T03:15:22Z,0,0
She is taking shower,2025-05-17T01:05:27Z,0,0
He is taking shower,2025-05-16T15:18:56Z,0,0
I.m  watching bbc learning English,2025-05-16T15:03:45Z,0,0
He&#39;s having a shower,2025-05-16T13:20:22Z,0,0
He is taking a shower,2025-05-16T11:56:48Z,0,0
He is taking a shower,2025-05-16T11:23:37Z,0,0
🙏🙏🙏,2025-05-16T11:10:08Z,0,0
"He is taking a bath❤<br>Love u bbc<br>Best wishes, <br>Egypt",2025-05-16T10:35:33Z,0,1
Reply: Almost :) He&#39;s having a shower :),2025-05-16T11:13:48Z,0,0
Thank you.,2025-05-16T10:14:18Z,0,1
Reply: You&#39;re welcome!,2025-05-16T10:32:17Z,0,0
&quot;He&#39;s showering &quot;<br>I mean  &quot;Tim is having a shower&quot;,2025-05-16T09:44:39Z,1,0
He is taking shower,2025-05-16T04:39:42Z,0,0
I&#39;m learning English with you now.,2025-05-16T01:44:20Z,0,1
Reply: @@lucasrodrigues880 Good answer,2025-05-18T15:12:10Z,0,0
Thsnk you 💖,2025-05-15T20:56:48Z,0,0
Its very helpful pls pls upload everyday <br>Thank u,2025-05-15T19:07:25Z,0,0
That&#39;s first time to watch BBC I&#39;m so happy for that 🎉❤,2025-05-15T18:15:21Z,0,1
Reply: Welcome! What parts of English are you hoping to learn with us?,2025-05-16T07:42:48Z,0,0
I&#39;m learning English withh BBC learning English,2025-05-15T18:08:08Z,0,0
ITim&#39;s having a shower.,2025-05-15T18:06:59Z,0,0
He is taking a shower.,2025-05-15T13:44:54Z,1,0
