Comment,Published At,Like Count,Reply Count
"I feel like you create this kind of videos for me! Or for all of us that feel stuck in overthinking and uncertanity... Thank you and dont stop... Your videos deserve milions of wievs, becouse they truly help people",2025-06-16T11:48:17Z,0,0
How do you keep posting videos right at the moment when I need them,2025-06-12T09:49:32Z,1,0
This helps a lot sir !,2025-06-12T07:44:25Z,0,0
"in 10 years, i will become a great mathematician. i am 17 now.",2025-06-12T04:36:51Z,2,0
Good stuff man!,2025-06-12T02:37:52Z,0,0
Great video,2025-06-12T01:59:25Z,0,0
1. think about what you&#39;re trying to do<br>2. have a big dream<br>3. be present,2025-06-11T22:51:00Z,2,0
Spot on. Thank you.,2025-06-11T18:45:16Z,0,0
Sir i am following you for long time like 5 years but i am implementing the things you are saying for 1 months and i am feeling the change within me,2025-06-11T17:48:49Z,1,0
"One thing I think is important to add is the importance of momentum. There&#39;s a lot to be said for taking some action to break inertia. It doesn&#39;t have to be anything great, just take a walk or do the dishes or pretty much anything but sitting in a thought loop.",2025-06-11T17:18:11Z,9,0
"You couldnt have posted this at a better time. I just got over my Aeronautical engineering diploma Midsem tests. Thermodynamics, C++, Eng Math , digital electronics.<br><br>Did great for most except electronics, cos im a mechanical kid, I studied like a madman for these tests , did great but holidays started and i feel like i have no purpose anymore, <br><br>I havent used tiktok in 9 months and i got addicted to it in the last 5 days of holiday, I thought im relaxing but i still feel tired and have those eyebags.<br><br>Im scared that this will roll into next term which will be harder and this mindset of mine is Weak. Thank you, Sir",2025-06-11T16:48:36Z,5,0
❤❤❤❤❤,2025-06-11T16:48:33Z,1,0
❤,2025-06-11T16:46:07Z,1,0
