Comment,Published At,Like Count,Reply Count
Unc with the diabolical camera angle,2025-06-17T20:20:49Z,0,0
"I cant help but notice the grammatical mistake in the caption.. and the meaning is kinda distorted, for it menas so arrogant..:)",2025-06-17T18:17:58Z,0,0
Beff Jezos got some real advice.,2025-06-17T18:15:53Z,0,0
Of course this guy has his math courses in the description + affiliate links lmao,2025-06-17T17:58:11Z,0,0
Loves math. But still it cooks me idk why 🥺,2025-06-17T17:54:31Z,0,0
Sorcerer use your magic . You are growing older and im growing bigger 😢 pls i want to learn numerical not alphabets in maths. Integration was really hard for me. I got cooked. Pls reverse time,2025-06-17T17:54:09Z,1,0
"Thank you so much. This is what I needed to hear. This instilled a sense of drive in me. I&#39;m going to practice hard, without wasting any time, knowing that one day, I&#39;ll become an expert.",2025-06-17T15:48:22Z,0,0
Left no stone unturned.,2025-06-17T15:18:46Z,0,0
Clear and to the point advice ❤,2025-06-17T15:10:26Z,0,0
"If I&#39;m the smartest person in a room, <br>There&#39;s only one person in the room..",2025-06-17T15:05:30Z,4,0
Jeff Bezos from Amazon big billions day offer,2025-06-17T14:46:38Z,0,0
Jeff Bezos really need to go out and get tan. He looking wierd.,2025-06-17T13:58:49Z,2,0
Very Jeff Bezos looking.,2025-06-17T13:58:02Z,1,0
Thanks for another constructive video.,2025-06-17T13:46:40Z,0,0
Is this guy related to Bezos,2025-06-17T12:28:20Z,0,0
im realy good at roblox,2025-06-17T12:14:12Z,0,0
How&#39;s the business going on Jeff Bezos ?,2025-06-17T12:11:31Z,2,0
Thank you professor Bezos 🙂,2025-06-17T11:42:53Z,1,0
This guy looks like Jeff Bezos,2025-06-17T11:14:02Z,0,0
You look like how jeff bezos would look like without all those surgeries,2025-06-17T10:56:53Z,0,0
Practice makes perfect!,2025-06-17T10:29:40Z,0,0
"Thank you so much, this is the answer I&#39;ve been looking",2025-06-17T10:25:20Z,0,0
Will overcome my disability to learn things and progress in life,2025-06-17T09:59:09Z,0,0
I know you!,2025-06-17T09:57:35Z,1,0
I&#39;ve been working for 6 months as a front-end developer I still have the imposter syndrome like everybody else I&#39;ve practiced a lot and looked to other peoples code but still struggling even with the simplest concepts I really wanna become better,2025-06-17T09:49:38Z,0,0
"No. Well you&#39;re not completely wrong but close to the answer. It&#39;s like asking what&#39;s the best tool to build a house, you have to use all of them.",2025-06-17T09:30:35Z,0,0
Jeff bezos?,2025-06-17T09:18:49Z,0,0
Idk why but you are looking like lite version of Jeff bezos,2025-06-17T08:41:35Z,0,0
"Honesty, Practice, Consistency, Patience",2025-06-17T08:32:55Z,3,0
Brother is this White Naval,2025-06-17T07:52:40Z,0,0
Jeff bezos after geeting 200 iq,2025-06-17T07:26:38Z,0,0
do it,2025-06-17T07:10:50Z,0,0
Great points ..but you low key look like Jeff Bezos or am I losing it?😅,2025-06-17T06:05:36Z,0,0
How to focus on one skill and then learn it and I am facing problems because of lack of focus?,2025-06-17T05:44:59Z,0,0
"Jeff Bezos, what are you doing here ?",2025-06-17T04:19:59Z,0,0
You look like Jeff Bezos,2025-06-17T04:18:11Z,0,0
Jeff bezos son,2025-06-17T04:07:10Z,0,0
How do I get better at math and cs? Is there any course I can take preferrably for free and that teaches me in demand skills to get a good job?,2025-06-17T02:52:43Z,0,0
Alhamdulillah. I am glad that I found your channel long time ago. You have been a very good motivator. I am currently learning Computer Science to get a I.T job.,2025-06-17T02:33:40Z,0,0
