Comment,Published At,Like Count,Reply Count
"Born to dilly dally, forced to lock in. I have to put away my comically large lollipop and a propeller hat and pick up a math book instead.",2025-06-17T20:34:03Z,0,0
I am definitely passing my calculus exams 🙏🏽🤍,2025-06-15T21:52:50Z,3,1
Reply: Awesome,2025-06-16T04:17:56Z,0,0
❤❤❤❤❤,2025-06-14T13:21:21Z,0,0
One simple question what would be the best approach to read your physics/maths book?,2025-06-14T11:17:02Z,3,0
Suggest me the best book for category theory,2025-06-14T08:02:49Z,1,0
I study math problems as puzzle games the way it is effective and fun way to learn.,2025-06-14T07:19:52Z,0,0
"For tests, I go through all the class examples and notes first, then the textbook examples without preparation. Once done, I move on to past year papers and make sure to take plenty of tests before the actual exam.",2025-06-14T06:23:52Z,2,0
"Sir , ❤ from India. Thank you for your advice ❤🎉",2025-06-14T05:32:56Z,1,0
Active recall method hardest but its best for learning 😄,2025-06-14T01:54:04Z,1,0
❤❤❤❤❤,2025-06-14T01:18:23Z,0,0
&quot;You are that one rare mathematics lecture and role model&quot;.,2025-06-13T21:18:33Z,9,0
"Thank You Sir, Really Grateful For Your Help",2025-06-13T20:53:28Z,4,0
Thank you for that tip,2025-06-13T20:42:40Z,2,0
"<a href=""http://www.youtube.com/results?search_query=%23first"">#First</a>",2025-06-13T20:40:52Z,2,0
