Comment,Published At,Like Count,Reply Count
"Epic Engineering Minds <a href=""https://amzn.to/3STbarj"">https://amzn.to/3STbarj</a> (affiliate link)",2025-06-13T20:44:41Z,3,0
Why there&#39;s Musk and not Heaviside💀,2025-06-15T20:28:32Z,4,0
What happened dude? 😢,2025-06-15T19:20:47Z,4,0
Stop making this content,2025-06-14T20:42:32Z,12,1
"Reply: Don&#39;t know what the beef is about as I just pass by, but who do you think you are to tell people what to do? To the creator. Do whatever you like, you are not their servant. God bless.",2025-06-15T10:17:32Z,0,0
i was once a big fan of this channel but selling chatgpt written books without a disclaimer made this channel loose all its authenticity. breaks my heart,2025-06-14T10:36:59Z,52,6
Reply: Source?,2025-06-14T14:49:35Z,0,0
"Reply: @@yeager7183 just read the few pages he shows on vid, you&#39;ll understand",2025-06-14T17:26:41Z,0,0
Reply: Where did you learn this?,2025-06-14T20:03:28Z,0,0
"Reply: Yeah, agree with you, I don&#39;t know how people can&#39;t see it.",2025-06-14T20:34:21Z,3,0
Reply: same,2025-06-14T22:22:20Z,0,0
Sorry but these are not the best choices for engineers.,2025-06-14T09:54:25Z,6,0
First,2025-06-14T09:30:31Z,1,0
