Comment,Published At,Like Count,Reply Count
"I need better brain food, any suggestions?",2025-06-17T20:51:33Z,0,0
Can you do a video on learning as an adult versus learning when you’re younger?,2025-06-17T20:34:40Z,0,0
you are 3 step away to teleporting in my room xD,2025-06-17T19:31:52Z,0,0
Thank you for the video. Inspirational,2025-06-17T19:08:55Z,0,0
"‏‪<a href=""https://www.youtube.com/watch?v=tv89WfipMCY&amp;t=869"">14:29</a><br>The Prophet Muhammad (peace and blessings be upon him) was asked: “Which deed is most beloved to God?” He replied: “The one that is done consistently, even if it is small.” That is, deeds, even if small, are most beloved to God if one continues to do them over time.",2025-06-17T17:36:57Z,0,0
I am gonna win now lets go,2025-06-17T16:53:21Z,0,0
"I double-majored in Math and Computer Science. Yes, it was very hard, but I was young and naive and I just dug in and did it. If I was &quot;older and wiser&quot; I might not have had the courage to do it. Now I study physics and continue practicing math in my free time. I told a friend this once and she said, &quot;You really need a girlfriend!&quot; Thanks for helping in my continued mathematical journey.",2025-06-17T15:39:18Z,0,0
Amazing eyes ❤ love your videos. Thank you 😊,2025-06-17T14:46:14Z,1,0
Isn&#39;t all about practice?,2025-06-17T06:44:50Z,0,0
"Hi Math sorcerer, I want to learn quatum computing and it&#39;s mathematical and physics background. <br><br>Can you please suggest me some good resources/Books for the same.<br><br>Thank you.",2025-06-17T06:11:20Z,0,0
"I dont know what is it with the close up videos, but it&#39;s funny",2025-06-17T02:06:16Z,1,0
😑😑,2025-06-17T00:37:51Z,0,0
Thank you. You have such a beautiful heart💐🙏🏽,2025-06-16T22:35:11Z,1,0
"<a href=""UCkszU2WH9gy1mb0dV-11UJg/m8MfY4jbFsWJhL0PyouA2Ak""></a>",2025-06-16T20:25:24Z,0,0
Either you learned to stop caring about what others think or you&#39;re trying to look insane as possible.,2025-06-16T18:11:58Z,2,0
