Comment,Published At,Like Count,Reply Count
&quot;FEAR will keep the systems in line.  FEAR of this battle station!&quot;<br>Grand Moff Tarkin,2025-06-16T02:44:31Z,0,0
I&#39;m 21 now i really addicted with regretting past from 18 age to 20 age.....I got nothing ngl wasting my time on remembering xyz and regretting,2025-06-15T22:20:26Z,0,0
Best video I&#39;ve ever seen on YouTube,2025-06-15T21:09:38Z,2,1
Reply: Thanks man,2025-06-16T04:18:07Z,0,0
&quot;Math is hard but life is harder&quot;😮,2025-06-15T12:07:49Z,1,0
I&#39;m your invisible student,2025-06-15T12:06:13Z,3,1
Reply: genius,2025-06-16T01:44:20Z,0,0
Worst mistake is to give up your deams and hopes,2025-06-15T08:22:26Z,5,1
"Reply: Damn dude. I know what you&#39;re talking about. I once gave up completely on all my dreams. I thought that let&#39;s just forget them. Strangely enough, by body reacted as well. I became so damn weak. Like body aged a decade in a single year. My mental power plumetted HARD. I&#39;m back on track now but damn those were some hard days",2025-06-17T11:32:52Z,0,0
jeff bezos,2025-06-15T04:57:08Z,2,0
Could we please get a daily vlogg of how you live youre life?,2025-06-14T21:40:33Z,2,0
❤❤❤❤❤,2025-06-14T19:02:40Z,0,0
Am I crazy or does he look like homeless Jeff Bezos,2025-06-14T18:17:23Z,4,0
I am giving my 100 percent still I am struggling a lot with math I don&#39;t hate maths I love it but I think maths don&#39;t love me or whatever it is. Jee level math is hard man fr.,2025-06-14T17:12:24Z,8,0
🙏 ❤,2025-06-14T17:02:21Z,0,0
"im 19. In six days, I&#39;ll take the university entrance exam. I always avoided studying, and now I&#39;m suffering the consequences of the decisions I made. I wish I had been disciplined enough to study throughout the year. Now I&#39;ll waste a whole year for it again. I hope I&#39;ll learn my lesson this time.",2025-06-14T16:52:14Z,5,2
"Reply: you are only 19. Imagine a world where you have to enlist in the military or volunteer for 3 years after high school. Then have to &quot;waste&quot; another year after to try to make it to a university you like, Then actually study for 4 years. Best of luck for you in the exam but a year of studying to enter university isn&#39;t a waste.",2025-06-15T07:38:28Z,3,0
Reply: Yks mi bro,2025-06-16T21:05:24Z,0,0
"Choices have consequences:  it happens to all of us.<br>Some windows of opportunity, once closed not only can&#39;t open again, but are walled-over.<br>I have a lot of decades of hills and valleys to look back on, but am grateful for where I am.<br>Regardless, there&#39;s no going back to change the &quot;woulda, coulda &amp; shouldas&quot;.<br><br>Marshalling the fortitude to transform, &quot;I always wanted to &lt;fill-in the blank&gt;.&quot; into &quot;I&#39;m &lt;fill-in the blank&gt;.&quot; is revolutionary at any age.",2025-06-14T16:33:53Z,9,1
Reply: Described it really well,2025-06-17T20:18:57Z,0,0
Hey..I think a beard on your face will make you even &quot;😎&quot;ler,2025-06-14T15:48:04Z,0,0
You&#39;re mathematically cool! 😎,2025-06-14T15:45:48Z,1,0
Math isn’t exactly what ewe hueman$ know and/&amp;/dna perceive it as… it’s setup that way on purpose for con/troll &amp; the “Inversion incursion”… ewe hueman$ should be somewhat aware 👁️,2025-06-14T14:51:23Z,0,0
“Time” is a compound word 👁️,2025-06-14T14:49:19Z,0,0
You are 100% spot on,2025-06-14T14:48:17Z,1,0
These videos help me a lot daily disciplinary motivation fr thank you sir!,2025-06-14T13:57:15Z,0,0
"Hello sir, <br>I feel like sometimes you can not take time for yourself, just fews moments enjoying life and time in society alone or surrounded by people. Like you said that, mathematics are applicable everywhere  life is, goes on and along. Yes, life is happening always everywhere. We can live it, observe it, feel it , experience it in so many ways <br>But, there is no reason or need to observe it so deeply all the time. I mean, mathematics are vast and not just only focused on natural processes or intergrative physics, hard calculations. Sometimes, the minds needs to rest",2025-06-14T13:56:31Z,7,0
"Thank you sorcerer, I needed this video.",2025-06-14T13:55:28Z,0,0
"I passed an intense engineer entry course of 1 year with 3 years worth of content. I was close to giving up multiple times, but these videos helped me keep going even if it was looking pretty bad. Just wanted to say thanks for the motivation and giving me a feeling that I aint alone.",2025-06-14T13:55:13Z,27,3
"Reply: Going through sort of a similar situation rn. I gotta say the timing of this channel often feels Immaculate, with those motivational messages and advice on how to overcome academic challenges",2025-06-15T04:29:09Z,1,0
Reply: Same here,2025-06-15T08:49:31Z,0,0
Reply: I passed that test without studying. Not sure how.,2025-06-16T05:45:50Z,0,0
❤❤❤❤❤,2025-06-14T13:36:57Z,1,0
This is my motivation to pass my Discrete Math exam,2025-06-14T13:35:10Z,6,0
Super video man,2025-06-14T13:26:34Z,6,0
